E:\PhD\4-Transfer-Learning\codes\Transfer-Learning-Library\DAN-Alexnet.py:48: UserWarning: You have chosen to seed training. This will turn on the CUDNN deterministic setting, which can slow down your training considerably! You may see unexpected behavior when restarting from checkpoints.
  warnings.warn('You have chosen to seed training. '
=> using model 'AlexNet'
D:\miniconda3\envs\Tlib\lib\site-packages\torchvision-0.13.1-py3.10-win-amd64.egg\torchvision\models\_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and will be removed in 0.15, please use 'weights' instead.
  warnings.warn(
D:\miniconda3\envs\Tlib\lib\site-packages\torchvision-0.13.1-py3.10-win-amd64.egg\torchvision\models\_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and will be removed in 0.15. The current behavior is equivalent to passing `weights=AlexNet_Weights.IMAGENET1K_V1`. You can also use `weights=AlexNet_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Epoch 0: Learning Rate for backbone: 0.001; Learning Rates for task heads: 0.01
E:\PhD\4-Transfer-Learning\codes\Transfer-Learning-Library\DAN-Alexnet.py:243: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  entropy_min_loss = entropy(F.softmax(yt), reduction='mean')
Epoch: [0][26/88]	Total Loss 2.3985 (2.7470)	Source 2.0143 (2.2338)	Entropy 1.5776 (2.5273)	MMD 0.2264 (0.2605)	Cls Acc 46.88 (40.62)
Epoch: [0][27/88]	Total Loss 1.8547 (2.7152)	Source 1.5265 (2.2086)	Entropy 1.5713 (2.4931)	MMD 0.1711 (0.2573)	Cls Acc 56.25 (41.18)
Epoch: [0][28/88]	Total Loss 2.3587 (2.7029)	Source 1.9985 (2.2013)	Entropy 1.7476 (2.4674)	MMD 0.1854 (0.2548)	Cls Acc 53.12 (41.59)
Epoch: [0][29/88]	Total Loss 1.4714 (2.6618)	Source 1.0503 (2.1630)	Entropy 1.8654 (2.4474)	MMD 0.2345 (0.2541)	Cls Acc 68.75 (42.50)
Epoch: [0][30/88]	Total Loss 1.8146 (2.6345)	Source 1.3845 (2.1379)	Entropy 1.4450 (2.4150)	MMD 0.2857 (0.2551)	Cls Acc 56.25 (42.94)
Epoch: [0][31/88]	Total Loss 1.7386 (2.6065)	Source 1.3251 (2.1125)	Entropy 1.8770 (2.3982)	MMD 0.2258 (0.2542)	Cls Acc 56.25 (43.36)
Epoch: [0][32/88]	Total Loss 1.6801 (2.5784)	Source 1.3250 (2.0886)	Entropy 1.5066 (2.3712)	MMD 0.2044 (0.2527)	Cls Acc 56.25 (43.75)
Epoch: [0][33/88]	Total Loss 2.0501 (2.5629)	Source 1.6441 (2.0755)	Entropy 1.5894 (2.3482)	MMD 0.2470 (0.2525)	Cls Acc 59.38 (44.21)
Epoch: [0][34/88]	Total Loss 1.8322 (2.5420)	Source 1.4318 (2.0571)	Entropy 1.7169 (2.3302)	MMD 0.2287 (0.2519)	Cls Acc 68.75 (44.91)
Epoch: [0][35/88]	Total Loss 2.1009 (2.5298)	Source 1.6825 (2.0467)	Entropy 1.7660 (2.3145)	MMD 0.2418 (0.2516)	Cls Acc 50.00 (45.05)
Epoch: [0][36/88]	Total Loss 1.4778 (2.5013)	Source 1.1475 (2.0224)	Entropy 1.2651 (2.2861)	MMD 0.2038 (0.2503)	Cls Acc 68.75 (45.69)
Epoch: [0][37/88]	Total Loss 1.4951 (2.4748)	Source 1.1548 (1.9996)	Entropy 1.1427 (2.2560)	MMD 0.2261 (0.2497)	Cls Acc 71.88 (46.38)
Epoch: [0][38/88]	Total Loss 1.5948 (2.4523)	Source 1.2976 (1.9816)	Entropy 1.3593 (2.2330)	MMD 0.1613 (0.2474)	Cls Acc 59.38 (46.71)
Epoch: [0][39/88]	Total Loss 2.1001 (2.4435)	Source 1.7477 (1.9757)	Entropy 1.3993 (2.2122)	MMD 0.2124 (0.2465)	Cls Acc 46.88 (46.72)
Epoch: [0][40/88]	Total Loss 2.0971 (2.4350)	Source 1.7133 (1.9693)	Entropy 1.4521 (2.1937)	MMD 0.2386 (0.2463)	Cls Acc 50.00 (46.80)
Epoch: [0][41/88]	Total Loss 2.1235 (2.4276)	Source 1.7361 (1.9638)	Entropy 1.6992 (2.1819)	MMD 0.2175 (0.2456)	Cls Acc 53.12 (46.95)
Epoch: [0][42/88]	Total Loss 2.7049 (2.4341)	Source 2.3837 (1.9736)	Entropy 1.2691 (2.1607)	MMD 0.1943 (0.2444)	Cls Acc 37.50 (46.73)
Epoch: [0][43/88]	Total Loss 1.7219 (2.4179)	Source 1.3442 (1.9593)	Entropy 1.5120 (2.1459)	MMD 0.2266 (0.2440)	Cls Acc 59.38 (47.02)
Epoch: [0][44/88]	Total Loss 1.8816 (2.4060)	Source 1.5762 (1.9507)	Entropy 1.7065 (2.1362)	MMD 0.1348 (0.2416)	Cls Acc 59.38 (47.29)
Epoch: [0][45/88]	Total Loss 1.3750 (2.3836)	Source 1.0352 (1.9308)	Entropy 1.2568 (2.1170)	MMD 0.2142 (0.2410)	Cls Acc 78.12 (47.96)
Epoch: [0][46/88]	Total Loss 1.8146 (2.3714)	Source 1.4716 (1.9211)	Entropy 1.4537 (2.1029)	MMD 0.1977 (0.2401)	Cls Acc 56.25 (48.14)
Epoch: [0][47/88]	Total Loss 1.6203 (2.3558)	Source 1.2759 (1.9076)	Entropy 1.6604 (2.0937)	MMD 0.1783 (0.2388)	Cls Acc 71.88 (48.63)
Epoch: [0][48/88]	Total Loss 2.1842 (2.3523)	Source 1.7885 (1.9052)	Entropy 1.3862 (2.0793)	MMD 0.2571 (0.2392)	Cls Acc 56.25 (48.79)
Epoch: [0][49/88]	Total Loss 1.6682 (2.3386)	Source 1.3211 (1.8935)	Entropy 1.4749 (2.0672)	MMD 0.1997 (0.2384)	Cls Acc 65.62 (49.12)
Epoch: [0][50/88]	Total Loss 1.6646 (2.3254)	Source 1.3368 (1.8826)	Entropy 1.2932 (2.0520)	MMD 0.1984 (0.2376)	Cls Acc 53.12 (49.20)
Epoch: [0][51/88]	Total Loss 1.5589 (2.3107)	Source 1.1962 (1.8694)	Entropy 1.1892 (2.0354)	MMD 0.2438 (0.2377)	Cls Acc 65.62 (49.52)
Epoch: [0][52/88]	Total Loss 1.8495 (2.3020)	Source 1.3894 (1.8603)	Entropy 1.4616 (2.0246)	MMD 0.3139 (0.2392)	Cls Acc 62.50 (49.76)
Epoch: [0][53/88]	Total Loss 2.0696 (2.2977)	Source 1.6814 (1.8570)	Entropy 1.8547 (2.0214)	MMD 0.2027 (0.2385)	Cls Acc 46.88 (49.71)
Epoch: [0][54/88]	Total Loss 1.6619 (2.2861)	Source 1.2510 (1.8460)	Entropy 1.4738 (2.0115)	MMD 0.2635 (0.2389)	Cls Acc 59.38 (49.89)
Epoch: [0][55/88]	Total Loss 1.2916 (2.2683)	Source 0.9970 (1.8308)	Entropy 1.3160 (1.9991)	MMD 0.1629 (0.2376)	Cls Acc 65.62 (50.17)
Epoch: [0][56/88]	Total Loss 2.3837 (2.2704)	Source 2.0328 (1.8344)	Entropy 1.2626 (1.9861)	MMD 0.2246 (0.2374)	Cls Acc 46.88 (50.11)
Epoch: [0][57/88]	Total Loss 2.3402 (2.2716)	Source 1.9204 (1.8359)	Entropy 1.0955 (1.9708)	MMD 0.3102 (0.2386)	Cls Acc 53.12 (50.16)
Epoch: [0][58/88]	Total Loss 3.0062 (2.2840)	Source 2.6803 (1.8502)	Entropy 1.4916 (1.9627)	MMD 0.1767 (0.2376)	Cls Acc 53.12 (50.21)
Epoch: [0][59/88]	Total Loss 1.9417 (2.2783)	Source 1.5780 (1.8456)	Entropy 1.4632 (1.9543)	MMD 0.2174 (0.2372)	Cls Acc 62.50 (50.42)
Epoch: [0][60/88]	Total Loss 2.4223 (2.2807)	Source 2.0184 (1.8485)	Entropy 1.5195 (1.9472)	MMD 0.2520 (0.2375)	Cls Acc 50.00 (50.41)
Epoch: [0][61/88]	Total Loss 1.9960 (2.2761)	Source 1.6203 (1.8448)	Entropy 1.5353 (1.9406)	MMD 0.2222 (0.2372)	Cls Acc 56.25 (50.50)
Epoch: [0][62/88]	Total Loss 1.8031 (2.2686)	Source 1.4659 (1.8388)	Entropy 1.5326 (1.9341)	MMD 0.1840 (0.2364)	Cls Acc 50.00 (50.50)
Epoch: [0][63/88]	Total Loss 2.5754 (2.2734)	Source 2.1657 (1.8439)	Entropy 1.5665 (1.9283)	MMD 0.2530 (0.2366)	Cls Acc 43.75 (50.39)
Epoch: [0][64/88]	Total Loss 2.2291 (2.2727)	Source 1.8615 (1.8442)	Entropy 1.5353 (1.9223)	MMD 0.2141 (0.2363)	Cls Acc 46.88 (50.34)
Epoch: [0][65/88]	Total Loss 1.7972 (2.2655)	Source 1.4381 (1.8380)	Entropy 1.7477 (1.9197)	MMD 0.1843 (0.2355)	Cls Acc 62.50 (50.52)
Epoch: [0][66/88]	Total Loss 2.0395 (2.2621)	Source 1.6397 (1.8351)	Entropy 1.4859 (1.9132)	MMD 0.2512 (0.2357)	Cls Acc 50.00 (50.51)
Epoch: [0][67/88]	Total Loss 1.7002 (2.2538)	Source 1.4130 (1.8288)	Entropy 1.2531 (1.9035)	MMD 0.1619 (0.2346)	Cls Acc 53.12 (50.55)
Epoch: [0][68/88]	Total Loss 1.0234 (2.2360)	Source 0.6756 (1.8121)	Entropy 1.2787 (1.8944)	MMD 0.2199 (0.2344)	Cls Acc 81.25 (51.00)
Epoch: [0][69/88]	Total Loss 1.7610 (2.2292)	Source 1.4365 (1.8068)	Entropy 1.4129 (1.8875)	MMD 0.1831 (0.2337)	Cls Acc 56.25 (51.07)
Epoch: [0][70/88]	Total Loss 2.4167 (2.2319)	Source 2.0585 (1.8103)	Entropy 1.5136 (1.8823)	MMD 0.2068 (0.2333)	Cls Acc 43.75 (50.97)
Epoch: [0][71/88]	Total Loss 2.1675 (2.2310)	Source 1.7673 (1.8097)	Entropy 1.3708 (1.8752)	MMD 0.2631 (0.2337)	Cls Acc 53.12 (51.00)
Epoch: [0][72/88]	Total Loss 1.5534 (2.2217)	Source 1.1033 (1.8000)	Entropy 1.5230 (1.8703)	MMD 0.2978 (0.2346)	Cls Acc 65.62 (51.20)
Epoch: [0][73/88]	Total Loss 1.7086 (2.2148)	Source 1.3710 (1.7942)	Entropy 1.2841 (1.8624)	MMD 0.2092 (0.2343)	Cls Acc 65.62 (51.39)
Epoch: [0][74/88]	Total Loss 2.2291 (2.2149)	Source 1.8044 (1.7944)	Entropy 1.4121 (1.8564)	MMD 0.2835 (0.2349)	Cls Acc 56.25 (51.46)
Epoch: [0][75/88]	Total Loss 1.7870 (2.2093)	Source 1.4975 (1.7905)	Entropy 1.2902 (1.8490)	MMD 0.1605 (0.2339)	Cls Acc 59.38 (51.56)
Epoch: [0][76/88]	Total Loss 1.8397 (2.2045)	Source 1.4136 (1.7856)	Entropy 1.3167 (1.8421)	MMD 0.2945 (0.2347)	Cls Acc 59.38 (51.66)
Epoch: [0][77/88]	Total Loss 1.7796 (2.1991)	Source 1.4366 (1.7811)	Entropy 1.4254 (1.8367)	MMD 0.2005 (0.2343)	Cls Acc 68.75 (51.88)
Epoch: [0][78/88]	Total Loss 1.7561 (2.1935)	Source 1.4586 (1.7770)	Entropy 1.3704 (1.8308)	MMD 0.1604 (0.2334)	Cls Acc 59.38 (51.98)
Epoch: [0][79/88]	Total Loss 1.2833 (2.1821)	Source 0.8292 (1.7652)	Entropy 1.6817 (1.8289)	MMD 0.2859 (0.2340)	Cls Acc 87.50 (52.42)
Epoch: [0][80/88]	Total Loss 1.8646 (2.1782)	Source 1.5183 (1.7621)	Entropy 1.5456 (1.8254)	MMD 0.1917 (0.2335)	Cls Acc 62.50 (52.55)
Epoch: [0][81/88]	Total Loss 1.3990 (2.1687)	Source 0.9885 (1.7527)	Entropy 1.6110 (1.8228)	MMD 0.2495 (0.2337)	Cls Acc 71.88 (52.78)
Epoch: [0][82/88]	Total Loss 2.0825 (2.1676)	Source 1.6869 (1.7519)	Entropy 1.5152 (1.8191)	MMD 0.2441 (0.2338)	Cls Acc 46.88 (52.71)
Epoch: [0][83/88]	Total Loss 1.8981 (2.1644)	Source 1.5654 (1.7497)	Entropy 1.5014 (1.8153)	MMD 0.1825 (0.2332)	Cls Acc 56.25 (52.75)
Epoch: [0][84/88]	Total Loss 2.3193 (2.1662)	Source 1.9831 (1.7524)	Entropy 1.5692 (1.8124)	MMD 0.1793 (0.2326)	Cls Acc 50.00 (52.72)
Epoch: [0][85/88]	Total Loss 1.8416 (2.1625)	Source 1.5817 (1.7504)	Entropy 1.1438 (1.8047)	MMD 0.1455 (0.2316)	Cls Acc 50.00 (52.69)
Epoch: [0][86/88]	Total Loss 1.7803 (2.1581)	Source 1.3837 (1.7462)	Entropy 1.5452 (1.8017)	MMD 0.2420 (0.2317)	Cls Acc 59.38 (52.77)
Epoch: [0][87/88]	Total Loss 1.0050 (2.1450)	Source 0.6023 (1.7332)	Entropy 1.6438 (1.7999)	MMD 0.2383 (0.2318)	Cls Acc 84.38 (53.12)
All the covariance matrices recorded, start calculating BETAs...
beta_6 updated to: [0.8059319026886148, 7.809795688951175e-07, 2.6896004415213537e-07, 2.6523182422790066e-06, 12.51228276114709]
beta_7 updated to: [2.0543135885306474, 5.027457148470735e-07, 3.272177714910718e-07, 5.3031257911442245e-06, 11.577479518144555]
beta_8 updated to: [3.669492021727573, 2.930402200523536e-08, 1.719345245324181e-08, 5.215666801411797e-09, 10.39092570842608]
Test: [ 0/25]	Time  0.321 ( 0.321)	Loss 2.1539e+00 (2.1539e+00)	Acc@1  56.25 ( 56.25)
Test: [ 1/25]	Time  0.317 ( 0.319)	Loss 2.4560e+00 (2.3049e+00)	Acc@1  40.62 ( 48.44)
Test: [ 2/25]	Time  0.323 ( 0.320)	Loss 2.0222e+00 (2.2107e+00)	Acc@1  46.88 ( 47.92)
Test: [ 3/25]	Time  0.312 ( 0.318)	Loss 1.6539e+00 (2.0715e+00)	Acc@1  50.00 ( 48.44)
Test: [ 4/25]	Time  0.326 ( 0.320)	Loss 1.8572e+00 (2.0286e+00)	Acc@1  46.88 ( 48.12)
Test: [ 5/25]	Time  0.315 ( 0.319)	Loss 1.8158e+00 (1.9932e+00)	Acc@1  65.62 ( 51.04)
Test: [ 6/25]	Time  0.318 ( 0.319)	Loss 2.2597e+00 (2.0312e+00)	Acc@1  59.38 ( 52.23)
Test: [ 7/25]	Time  0.325 ( 0.320)	Loss 1.6873e+00 (1.9882e+00)	Acc@1  59.38 ( 53.12)
Test: [ 8/25]	Time  0.304 ( 0.318)	Loss 1.7495e+00 (1.9617e+00)	Acc@1  46.88 ( 52.43)
Test: [ 9/25]	Time  0.317 ( 0.318)	Loss 2.2374e+00 (1.9893e+00)	Acc@1  56.25 ( 52.81)
Test: [10/25]	Time  0.304 ( 0.317)	Loss 1.9814e+00 (1.9886e+00)	Acc@1  50.00 ( 52.56)
Test: [11/25]	Time  0.337 ( 0.318)	Loss 1.5709e+00 (1.9538e+00)	Acc@1  65.62 ( 53.65)
Test: [12/25]	Time  0.341 ( 0.320)	Loss 2.3991e+00 (1.9880e+00)	Acc@1  53.12 ( 53.61)
Test: [13/25]	Time  0.312 ( 0.319)	Loss 1.3145e+00 (1.9399e+00)	Acc@1  65.62 ( 54.46)
Test: [14/25]	Time  0.304 ( 0.318)	Loss 2.2057e+00 (1.9576e+00)	Acc@1  46.88 ( 53.96)
